,리뷰,평점
1014,내가 본 전쟁영화 중 최고... 전쟁 속을 내가 누비는 듯한 느낌 속에 지루하지 않은 러닝타임....ㅠㅠ,10
1015,영화를 보는내내 덩케르크가 오버랩 되는 것은....,8
1016,"극적인 연출과 음악이 압도하는 명작. 다소 연극적인 총격도망씬 등에 약간의 몰입방해를 느꼈지만, 전쟁영화 연출과 음악의 최고점을 준다.",9
1017,조명탄씬이랑 돌격씬 연출 미쳤어요... 무조건 아이맥스로 보세요,10
1018,"그는 삶을 포기했었지만 삶은 그를 포기하지 않았다. 각본, 연출, 연기, 음악 모든게 완벽한 영화. 개인적으로 힘든일이 있어 환기시키기 위해 봤던 영화였는데... 많은 위로가 된 영화였다. 좋은 영화는 사람을 한뼘 ...",10
1019,영상이 실감나고 긴장감을 놓칠 수 없어요!,9
1020,매우 사실적인 영화. 반전이 필요함을 새삼 느낀다,10
1021,원테이크? 진짜 놀랍다 보는 내내 영화속에 빠져들고 그 시간을 같이 체험하는 기분? 기생충이 이겼다니? 그정도였나?,10
1022,진짜 연출력 오져요 다들보세요,10
1023,독특한연출 좋았어요 추천드려요,7
1024,이 시대의 경이로운 걸작,10
1025,한 사람의 시점에서 ..전쟁에서 명령이 왜 소중한지..전우가 왜 소중한지..내가 저 상황이라면 어땠을지가 아니라..내가 그 명령와 전우의 의지를 이어가는 느낌의 영화..,10
1026,제대로 낚였음. 후회할 사람은 가서 보면 됨..,4
1027,실제 전장에 갔다 온 듯. 2시간 내내 촬영감독에 대한 경의로 보냈다.,9
1028,알바가 많은것 같네요 솔직히 10점줄 정도는 아니구요 대한민국 대부분 생각없는 20대남자들은 특히 군대안갔다온 미필새키들은 노잼이라고 중간에 나갈듯 99퍼ㅋ 다만 원테이크기법이라고 하나요? 아주 인상깊었긴하나 워낙 ...,8
1029,1차세계대전의 비극을 잘나타낸 영화세계대전 당시 참호전 및 군대 전투를 사실적으로 잘 표현함,10
1030,최고에요오ㅗ워어어이이이,10
1031,OO마이웨이 존엇이다,10
1032,,9
1033,초반씬은 최고였음...,8
1034,솔직히 연출에 있어서는 영화사에 남을만한 작품 아닌가싶다. 근데 진짜 어떻게 찍었지?,10
1035,,10
1036,나는 아직도 초반부 상처가 난 손으로 시체를 짚어 감염을 암시했던 떡밥이 잊히지 않는다. 그래서 떠벌이가 죽었을 때 의아했다. 걔가 살 줄 알았으니,10
1037,덩케르크만큼 진한 감동이 있는 휴먼 드라마.,10
1038,지금 극장 가면 코로나에 걸린다고 해도 볼 영화입니다.,10
1039,역시 클래식하네요~ 그래도 좋음,10
1040,이 영화 다 좋은데 영국군 애들 착한거야 멍청한거야.,10
1041,촬영감독의 노력에 박수를...스토리가 막 풍부하고 그런건 아니라..기대하는측면에따라 평이 엇갈릴듯..,6
1042,마지막 장면에서 전장을 가로질러 뛰어갈 때 울컥했다,9
1043,영화역사에 길이 회자될 작품.,10
1044,전쟁영화치고 내러티브는 미니멀하다. 하지만 서사 자체를 최소화한 채 고뇌와 감상에 빠지지 않고 긴 호흡으로 밀고 나가 더욱 가슴에 와 닿았다. MX관 꿀좌석에서 감상한 건 두고두고 잘한 일.,9
1045,덩케르크와 1917은 배우들 연기력빨보단 걍 고증에 의미를 두는 영화인데 한국영화보다가 얘네들꺼 보면 걍 밍숭맹숭함.딱히 재미없거나 하진 않은데 걍 지루하면서 쭉 보게됨.배우들의 감정선과 감독의 연출이 극적으로 연출...,7
1046,연기도 연출도 훌륭해요 엄청 재밌게 봤네요,10
1047,아군 1600명을 살리기 위해 고작 두명을 보내는거부터가 에러...적은 왜 구해주려다 칼 맞아 죽은건지....결국 우여곡절끝에 메켄지 대령에게 공격 취소하라고 해서 미션완료~ 너무 별로다...전쟁영화에 그래도 긴장감...,6
1048,가장 적은 비용으로 가장 안전하게 전쟁의 공포감을 느끼게 해준 최고의 영화...,10
1049,그냥 보통.. 좀 지루하기도 하네요.  기대가 커서 실망도 큽니다,6
1050,그렇게 재미있게 보지는 않았다. 주인공들이 고생하는데 가짜같다,5
1051,전쟁의 참혹함과 무의미함을 깨닫게 해준 영화,10
1052,극강의 몰입도가 주는 전쟁의 긴장,9
1053,마 감독 촬영 어케했노,8
1054,제발알바들아 거짓리뷰좀치우자40인생 최악영화임 차라리 고지전 마넌주고 봣음좋다겠다,2
1055,연출 연기 스토리 다 중간정도 갔는데 영상미 하나는 인정할수밖에 없어서 8점,8
1056,작품에 동화되다.,10
1057,"게임같은 영화, 영화같은 게임",8
1058,감독이 영화에 부여한 의미들이 영화 속에 잘 녹아있어요. 마리오게임 속 마리오처럼 역경을 헤치고가는 주인공의 연기력과 감독의 의도가 훌륭해요. 영화를 보며 전쟁이 더더욱 싫어졌네요.,10
1059,여자도이런전쟁영웅 존나멋있는거있어야지당연히. 동의함? 그리고 이런영화남자만있고여혐사회비판없이그대로보이는 여혐영화만있는거 문제인거도 알고?,5
1060,,10
1061,팬티가 10장이 필요했습니다ㅠㅠ아이맥스에서 봤는데코로나여파로 우리가족만 있어서 갈아입을수 있었습니다ㅠㅠ자신이 영화를 좀 알고 본다 하면 무조건 보시고백두산이나 인천상륙작전같은 액션영화 좋아하시면 재미 없을수 있습니다...,10
1062,두놈만 계~~~~속 나오는데 도입부는 긴장감이 도나  중반정도되니  지겨워도 못보것다...그리고 한놈 죽는 장면에서 오글거림,6
1063,이정도는 되야 기생충에 비비는구나진짜 개 지림,10
1064,평점 보고 기대하고 봤는데 생각보단별로였다..,6
1065,덩케르크 이후 전쟁 영화 중 가장 훌륭했다,10
1066,담담하지만 조용히 시대의 아픔을 조롱하는 작품,10
1067,119분동안 긴장하며 본 영화. 진이 쭉 빠진다.,10
1068,간만에 진짜 영화를봤다. 몰입감 장난아니다.,10
1069,전장 한가운데로 뚝떨어진 느낌. 젊은이들이 뭔죄야..그깟 땅덩어리 확 줘버리지 어휴,10
1070,지루하지않아요전쟁영화지만  자극적 장면 없어요전쟁을  소재로 한  영화지만   전쟁자체보다짜임새가  좋은것같아요몰입할수있어  좋아요,8
1071,전장을 가로지르며 뛰는 장면은 진짜 ㅅㅅ,10
1072,"촬영,미술,음악은 많이 언급되는데 배우연기는 덜 언급되는 느낌이 있네요ㅜ 다른부분도 매우 훌륭하지만 배우연기도 저는 넘 좋았어요",9
1073,,10
1074,그냥...말이 필요 없는 영화다. 극장에서 보기를 추천함.,10
1075,"중간중간 캐릭터들이 발암이긴 한데, 그래도 볼 만한 영화네요.",8
1076,대박임 짱짱 너무 좋았음,10
1077,괜히 상 받은 영화가 아니네요,10
1078,제 인생 영화 top3 안에 넣었습니다평론가 김현수씨는 영화와 연을 끊으셨음 좋겠습니다.수십만 일반인이 느끼는 이 감동과 설명할 수 없는 감탄의 대한 이해가 없는 사람이 무슨 영화 평론을 합니까방구석 예술가나 하십쇼...,10
1079,오랜만에 영화보면서 소름이 돋았습다...,10
1080,미드웨이에 이어서 1917까지 세계대전관련 영화는 언제나 옳다.,10
1081,"전쟁물을 예술로 승화시킨 작품. 전투씬 가득한 고전적인 전쟁물 좋아하는 사람들한텐 지루할 수 있을 것 같은데, 전쟁영화 그닥 안 좋아하는 나같은 사람들한텐 정말 수작으로 느껴지는 영화.",10
1082,리뷰를 보고 너무 기대하고 가서였나.. 지루하고.. 같이 본 사람도 나도 연신 하품만 하다가 왔다 솔직히 말해서 주변 분위기도 다 똑같았다. 영화관 내에서 중간중간 시간 확인하는 액정 불빛이 보였으니 ㅋㅋㅋㅋ,5
1083,,8
1084,전쟁의 무의미함,10
1085,돈주고보긴 아깝다  별로 재미없다  감동도없고 스릴도없고  그냥저냥 한달전 인터넷 올라와서 다운받아 봤는데 재미없다,1
1086,1917년 4월 6일을 경험하게 해주는 타임머신.,9
1087,1차세계대전은 승자도 영웅도 없고 단지 죽음에 밀어 넣어진자와 살아남은자만이 있는 전쟁이다,10
1088,졸 기대하고 봤는데 평점보다 못함,6
1089,"와, 극장에서 봤으면 욕했다. 편지 전달하고 허망하게 끝, // 시나리오나 연출에 신선함이나 독창성 1도 없고 많이 본  흔한 연출이라 건진거 1도 없고, 극적 요소 없는 편지전달과정 + 동료 한명 죽은 신파를 버무...",5
1090,연출 연기 스토리 영상미 뭐 하나 놓치질 않네 오늘 영화관 가서 봤는데 코로나 때문에 사람들이 많이 없어서 아쉬웠어요 역시 영화관 에서 봐야해 이런 띵작은,10
1091,고냥 개레전드....,10
1092,극장에서 보길 잘했다 두시간 순삭,10
1093,롱테이크씬이 많아서 그런지 너무 지루하다 전개도 느린데다가 무슨 대화를 오지함 기생충이랑 경쟁했다던데 너무 기대이하다 차라리 덩케르크 보는걸 강추,2
1094,졸리다 꾸벅이하품수없이함,2
1095,담담하게 그려낸 전쟁영화 입니다,8
1096,보는내내 시간 아깝지 않은 영화,10
1097,기생충이 민망해지는데..미국인 정서는 당췌 알수없어,10
1098,말도 안되는 ost 음악들이 한 몫하지만 보고나면 슬프고 먹먹해요 실제전쟁을 생각하게 돼서..영화음악과 영상미가 간접적으로 두려움과 긴박함을 너무 잘 전달해줍니다 이런 영화를 보면 영화포스터의 홍보가 영화에 비해 아...,10
1099,독일군이 실제로 등장하거나 총격을 벌이는 씬은 많지 않지만 연출로 인해 러닝타임 내내 긴장감을 늦출 수 없음. 전쟁의 참혹함을 장면 곳곳에 녹여넣음. 개인적으로는 굳이 형-동생 이야기를 녹여넣지 않는 것이 더 감동적...,8
1100,"그래 1917, 지금이면 카톡하나로 끝낼 일을 생사를 넘으며 메신저 역할을 한다. 100년전 이야기다. 그 전쟁이 끝나고, 1939엔 더 큰 전쟁이 일어났고, 1950 한국전쟁, 80년대 냉전, 그 이후 계속해서 이...",9
1101,극장에서 봐서 행복한 영화,10
1102,다들 촬영 전문가들인가...  원테이크 빼고는 별 내용도 감흥도 없던데,5
1103,이게 오스카 작품상을 못 받은 이유는 너무 식상한 소재였고 기생충이 은근 사회 계급주의를 다룬 영화였기 때문일 뿐 개인적으로 1917이 작품상이라고 생각됩니다.,10
1104,"퓨리 이후 이런 영화같은 영화는 처음, 끝나고 나서도여운이 오래 남는 영화 화장실도 못가고 봤어요.내 인생 최애 작품 인생영화 꼭 보셨으면 좋겠습니다 제발 ㅅㅂ",10
1105,라이언일병구하기가 백배재밌다.이건 뭐 고속도로 스토리네직진스토리~재미고 뭐고 아무것도 없다.그냥 목적지 도착~끝~,3
1106,영화관에서  한명도 없이 나 혼자 보았다.병사의 긴장감 이 나에게까지 전해졌다.,10
1107,오랜만에 영화관에 봐서 다행이다 싶은 영화였습니다,10
1108,역대 본 전쟁영화 중 단연 수작이다. 영화가 시작되는 순간 배틀그라운드의 전장에 직접 뛰어든 느낌이 든다. 영화관에서 봐야 맛이 사는건 당연하거니와 그게 아이맥스라면 더 좋다.,10
1109,"전쟁영화의 품격. 내가 전쟁영화를 싫어하는 줄 알았는데, 전쟁영화인척 하는 신파영화를 싫어하는거였다.",10
1110,메켄지...!!! 메켄지!!! 메켄지 ㅅㅂ 도대체 어딨는거야!!!,10
1111,헐리웃 촬영기술의 결정판,8
1112,"황야에서 시작해 풀잎 가득한 청음수 아래에서 끝나는 여정. 넓은 스크린에 홀로 선 인물을 꽉 채우는 음악. 폭포를 지나 강 위로 내리는 눈을 보며 부유한 수많을 감정들에, 가족이라는 단 하나의 고향.",9
1113,전쟁을 이렇게 장엄하고 우아하게 촬영한 작품은 처음인 것 같다. 롱테이크샷은 명불허전이네,10
1114,영상미가 정말훌륭합니다신기하네요,10
1115,영상은 좋은데 스토리는 기생충에 비해 형편 없음~,5
1116,,9
1117,내가본영화중 최악이다 2시간 졸다옴,2
1118,마주한 총구를 가로질러 달려나가는 살고싶단 희망.,8
1119,진심 완벽하다. 오스카에도 어울리지만 동시에 상업성도 충분하다고 본다.,10
1120,주말에 여자친구랑 코로나때문에 극장가길 꺼려져서 파주자유로자동차극장에서 봤는데 원테이크씬이라는 점에서 오는 신선한 연출력과 몰입도 현장의 생생함 과장된 전투씬이 없는 인생최고의 현실전쟁영화인거같다. 마지막에 언덕에 ...,10
1121,,8
1122,,9
1123,"그냥 세계1,2차전쟁 덕후로써 가뭄의 단비같은 영화엿습니다.. 개감동의 쓰나미 물론 제 여친은 옆에서 잣습니다ㅎㅎ",10
1124,"관객의눈은 카메라 앵글로 제한하고, 관객의 감정은 음악으로 조절하느라 정작 보는 사람의 자유도 따위는 1도 없는 서양놈들 국뽕영화네!!!",2
1125,영화관에서 안 볼거면 그냥 아예 보지 말 것을 추천.... 관람이 아니라 체험이다. 근데 그 체험을 영화관이 아니면 느낄 수 없을 것 같다. 그리고 나처럼 영화 좀 안다는 놈들은 믜친 카메라 촬영기법에 좀 더 관심을...,10
1126,"영화계 종사자분들은 본인들 수익과 관련 있으니과대 평가하는 것은 수긍됩니다만,평범한 대중의 시선으로,재미없습니다. 돈과 시간 아깝습니다.역사적 팩트 말고는,관객에게 무엇을 전달하고 하는지?",2
1127,"명료한 메세지, 신선하고 탄탄한 연출, 배우 극한직업",10
1128,보자마자 여운이 남아서 다음날 바로 또 보러 갔다.. 모든게 최고였다 모두가 봤으면..,10
1129,,9
1130,인생영화,10
1131,정말 예술이네요 너무 재밌게 잘봤어요,10
1132,외국어는 꼭 배워야겠다는 생각이...,10
1133,내 완벽했던 화이트 데이 데이트에 한 가지 실수가 있었다면 이 ㄱ같이 재미 없는 영화를 부티끄 영화관에서 봤다는것이다..,1
